Product,Usage Identifier,nrFpuEdition,nrUnitOfMeasure
New Relic PAYG - Advanced Compute (US DC) Usage Quantity,US Advanced CCU,,US Advanced CCU
New Relic PAYG - CodeStream (NCS) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - CodeStream (NCS) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - CodeStream (NCS) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - Distributed Traces (DR) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - Distributed Traces (DR) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - Distributed Traces (DR) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - Enterprise Compute (EU Data Center) Usage Quantity,EU CCU,,EU CCU
New Relic PAYG - Enterprise Compute (US Data Center) Usage Quantity,US CCU,,US CCU
New Relic PAYG - Enterprise Compute - Additional CCU (EU Data Center) Usage Quantity,EU CCU,,EU CCU
New Relic PAYG - Enterprise Compute - Additional CCU (US Data Center) Usage Quantity,US CCU,,US CCU
New Relic PAYG - Enterprise Compute Add On (EU DC) Usage Quantity,EU CCU,,EU CCU
New Relic PAYG - Enterprise Compute Add On (US DC) Usage Quantity,US CCU,,US CCU
New Relic PAYG - Enterprise Core Compute (EU DC) Usage Quantity,EU Core CCU,,EU Core CCU
New Relic PAYG - Enterprise Core Compute (US DC) Usage Quantity,US Core CCU,,US Core CCU
New Relic PAYG - Enterprise O11y For All (EU DC) Usage Quantity,EU Core CCU,,EU Core CCU
New Relic PAYG - Enterprise O11y For All (US DC) Usage Quantity,US Core CCU,,US Core CCU
New Relic PAYG - Enterprise Queries Usage Quantity,Scanned Events (In Billions),,Scanned Events (In Billions)
New Relic PAYG - Extended Data Retention (EDR) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - Extended Data Retention (EDR) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - Extended Data Retention (EDR) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - FedRAMP Compliance (NFR) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - FedRAMP Compliance (NFR) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - FedRAMP Compliance (NFR) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - HIPAA Compliance (NHC) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - HIPAA Compliance (NHC) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - HIPAA Compliance (NHC) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - Historical Data Export (HDE) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - Historical Data Export (HDE) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - Historical Data Export (HDE) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - Increase Mobile API Limit (IML) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - Increase Mobile API Limit (IML) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - Increase Mobile API Limit (IML) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - Increased Query Duration (IQD) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - Increased Query Duration (IQD) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - Increased Query Duration (IQD) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - Increased Query Limit (IQL) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - Increased Query Limit (IQL) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - Increased Query Limit (IQL) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - Infra-Bytes (IGB) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - Infra-Bytes (IGB) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - Infra-Bytes (IGB) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - Interactive Application Security Testing (IAST) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - Interactive Application Security Testing (IAST) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - Interactive Application Security Testing (IAST) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - Live Archives (EU Data Center) Usage Quantity,EU GB Months,,EU GB Months
New Relic PAYG - Live Archives (US Data Center) Usage Quantity,US GB Months,,US GB Months
New Relic PAYG - Logs Obfuscation (NLO) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - Logs Obfuscation (NLO) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - Logs Obfuscation (NLO) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - PrivateLink (NPL) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - PrivateLink (NPL) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - PrivateLink (NPL) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - Pro Compute (EU Data Center) Usage Quantity,EU CCU,,EU CCU
New Relic PAYG - Pro Compute (US Data Center) Usage Quantity,US CCU,,US CCU
New Relic PAYG - Pro Compute - Additional CCU (EU Data Center) Usage Quantity,EU CCU,,EU CCU
New Relic PAYG - Pro Compute - Additional CCU (US Data Center) Usage Quantity,US CCU,,US CCU
New Relic PAYG - Pro Compute Add On (EU DC) Usage Quantity,EU CCU,,EU CCU
New Relic PAYG - Pro Compute Add On (US DC) Usage Quantity,US CCU,,US CCU
New Relic PAYG - Pro Core Compute (EU DC) Usage Quantity,EU Core CCU,,EU Core CCU
New Relic PAYG - Pro Core Compute (US DC) Usage Quantity,US Core CCU,,US Core CCU
New Relic PAYG - Pro O11y For All (EU DC) Usage Quantity,EU Core CCU,,EU Core CCU
New Relic PAYG - Pro O11y For All (US DC) Usage Quantity,US Core CCU,,US Core CCU
New Relic PAYG - Pro Queries Usage Quantity,Scanned Events (In Billions),,Scanned Events (In Billions)
New Relic PAYG - Standard Compute (EU Data Center) Usage Quantity,EU CCU,,EU CCU
New Relic PAYG - Standard Compute (US Data Center) Usage Quantity,US CCU,,US CCU
New Relic PAYG - Standard Compute - Additional CCU (EU Data Center) Usage Quantity,EU CCU,,EU CCU
New Relic PAYG - Standard Compute - Additional CCU (US Data Center) Usage Quantity,US CCU,,US CCU
New Relic PAYG - Standard Compute Add On (EU DC) Usage Quantity,EU CCU,,EU CCU
New Relic PAYG - Standard Compute Add On (US DC) Usage Quantity,US CCU,,US CCU
New Relic PAYG - Standard Core Compute (EU DC) Usage Quantity,EU Core CCU,,EU Core CCU
New Relic PAYG - Standard Core Compute (US DC) Usage Quantity,US Core CCU,,US Core CCU
New Relic PAYG - Standard O11y For All (EU DC) Usage Quantity,EU Core CCU,,EU Core CCU
New Relic PAYG - Standard O11y For All (US DC) Usage Quantity,US Core CCU,,US Core CCU
New Relic PAYG - Standard Queries Usage Quantity,Scanned Events (In Billions),,Scanned Events (In Billions)
New Relic PAYG - Stream Data Export (SDE) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - Stream Data Export (SDE) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - Stream Data Export (SDE) Usage Quantity,GB Ingested,,GB Ingested
New Relic PAYG - Vulnerability Management (NVM) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic PAYG - Vulnerability Management (NVM) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic PAYG - Vulnerability Management (NVM) Usage Quantity,GB Ingested,,GB Ingested
New Relic Pilot Pricing (PAYG) Usage Quantity,Units,,Units
New Relic Savings Plan - Additional Synthetics Checks Usage Quantity,Checks,,Checks
New Relic Savings Plan - Advanced Compute (EU DC) Usage Quantity,EU Advanced CCU,,EU Advanced CCU
New Relic Savings Plan - Advanced Compute (US DC) Usage Quantity,US Advanced CCU,,US Advanced CCU
New Relic Savings Plan - CodeStream (NCS) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - CodeStream (NCS) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - CodeStream (NCS) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Data (EU Data Center) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Data (US Data Center) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Data Plus (EU Data Center) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Data Plus (US Data Center) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Data Plus Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Data Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Distributed Traces (DR) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Distributed Traces (DR) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Distributed Traces (DR) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Enterprise Advanced Compute (EU DC) Usage Quantity,EU Advanced CCU,,EU Advanced CCU
New Relic Savings Plan - Enterprise Advanced Compute (US DC) Usage Quantity,US Advanced CCU,,US Advanced CCU
New Relic Savings Plan - Enterprise Compute (EU Data Center) Usage Quantity,EU CCU,,EU CCU
New Relic Savings Plan - Enterprise Compute (US Data Center) Usage Quantity,US CCU,,US CCU
New Relic Savings Plan - Enterprise Compute Add On (EU DC) Usage Quantity,EU CCU,,EU CCU
New Relic Savings Plan - Enterprise Compute Add On (US DC) Usage Quantity,US CCU,,US CCU
New Relic Savings Plan - Enterprise Core Compute (EU DC) Usage Quantity,EU Core CCU,,EU Core CCU
New Relic Savings Plan - Enterprise Core Compute (US DC) Usage Quantity,US Core CCU,,US Core CCU
New Relic Savings Plan - Enterprise O11y For All (EU DC) Usage Quantity,EU Core CCU,,EU Core CCU
New Relic Savings Plan - Enterprise O11y For All (US DC) Usage Quantity,US Core CCU,,US Core CCU
New Relic Savings Plan - Enterprise Queries Usage Quantity,Scanned Events (In Billions),,Scanned Events (In Billions)
New Relic Savings Plan - Extended Data Retention (EDR) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Extended Data Retention (EDR) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Extended Data Retention (EDR) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - FedRAMP Compliance (NFR) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - FedRAMP Compliance (NFR) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - FedRAMP Compliance (NFR) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - HIPAA Compliance (NHC) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
